,id,lat,long,hour,proj,pltGrp,pltPosition,label
1262,24352,22.560534,114.016716,3,8,22,0,1
1263,24353,22.551184,114.050781,21,5,37,0,1
1264,24354,22.637899,114.021004,7,8,10,0,1
1265,24355,22.560484,114.011414,5,9,25,0,1
1266,24356,22.619801,113.808899,8,28,83,0,1
1267,24357,22.819599,113.714401,17,37,-1,0,1
1268,24358,22.567083,113.910316,12,19,1,0,1
1269,24359,22.5473,114.037598,10,6,8,0,1
1270,24360,22.531418,113.925583,20,17,44,0,1
1271,24361,22.73189,113.829109,19,26,29,0,1
1272,24362,22.549282,114.084084,14,2,4,0,1
1273,24363,22.569283,114.044334,12,6,53,0,1
1274,24364,22.624399,113.926064,12,17,1,0,1
1275,24365,22.629084,113.981201,22,12,43,0,1
1276,24366,22.639032,113.9692,8,13,60,0,1
1277,24367,22.530518,114.028481,15,7,28,0,1
1278,24368,22.551233,113.934219,3,16,58,0,1
1279,24369,22.6269,113.809898,3,28,97,0,1
1280,24370,22.538616,114.068184,22,4,43,0,1
1281,24371,22.601749,114.044502,14,6,4,0,1
1282,24372,22.518433,114.033752,21,7,37,0,1
1283,24373,22.613234,114.028717,23,7,84,0,1
1284,24375,22.58305,114.049614,13,5,19,0,1
1285,24376,22.542183,113.914131,1,18,72,0,1
1286,24377,22.634567,114.007866,23,9,84,0,1
1287,24378,22.568333,113.940918,23,16,100,0,1
1288,24380,22.531685,114.063644,10,4,8,0,1
1289,24381,22.549767,114.04245,16,6,2,0,1
1290,24382,22.636583,113.999031,20,10,26,0,1
1291,24384,22.575382,114.039452,16,6,2,0,1
1292,24385,22.565767,113.977165,21,12,14,0,1
1293,24386,22.531073,113.920532,10,18,8,0,1
1294,24387,22.538231,114.06839,9,4,31,0,1
1295,24388,22.603909,113.833611,14,26,16,0,1
1296,24391,22.671,113.9869,1,11,-1,0,1
1297,24392,22.594267,114.025085,3,8,22,0,1
1298,24393,22.658667,114.023483,11,8,18,0,1
1299,24394,22.668882,113.823013,13,27,67,0,1
1300,24395,22.585051,113.89312,17,20,41,0,1
1301,24396,22.645,114.014297,8,9,51,0,1
1302,24397,22.665701,114.012703,10,9,8,0,1
1303,24398,22.57,113.872498,1,22,7,0,1
1304,24399,22.521378,113.813042,16,28,86,0,1
1305,24400,22.604567,114.032364,4,7,23,0,1
1306,24401,22.583366,113.888664,17,21,41,0,1
1307,24402,22.601683,113.824348,10,27,8,0,1
1308,24403,22.645967,114.039597,19,6,17,0,1
1309,24405,22.617418,114.025887,14,8,4,0,1
1310,24406,22.735521,114.008209,10,9,8,0,1
1311,24409,22.575068,113.879066,9,21,11,0,1
1312,24410,22.536007,114.067535,22,4,43,0,1
1313,24411,22.61405,114.038498,14,6,4,0,1
1314,24412,22.569,113.80838,8,28,83,0,1
